rank,word,lemma,occurrences_ppm
266,duro,duro,414.0029786707816
267,be,be,414.0029786707816
268,llama,llama,414.0029786707816
269,di,di,414.0029786707816
270,'toy,'toy,408.6263166101221
271,paso,paso,408.6263166101221
272,tó,tó,403.2496545494626
273,está',está',403.2496545494626
274,estar,estar,403.2496545494626
275,nombre,nombre,403.2496545494626
276,pa,pa,397.8729924888031
277,papi,papi,392.4963304281436
278,puerto,puerto,392.4963304281436
279,pongo,pongo,392.4963304281436
280,pr,pr,392.4963304281436
281,kush,kush,387.1196683674841
282,dejo,dejo,387.1196683674841
283,brr,brr,387.1196683674841
284,tra,tra,381.7430063068246
285,hablando,hablando,381.7430063068246
286,is,is,381.7430063068246
287,todavía,todavía,381.7430063068246
288,cara,cara,381.7430063068246
289,digo,digo,376.3663442461651
290,quiera,quiera,376.3663442461651
291,ante',ante',376.3663442461651
292,dame,dame,376.3663442461651
293,prende,prende,370.98968218550556
294,hear,hear,370.98968218550556
295,boca,boca,370.98968218550556
296,love,love,370.98968218550556
297,'tás,'tás,365.6130201248461
298,all,all,365.6130201248461
299,esa,esa,365.6130201248461
300,mal,mal,365.6130201248461
301,trap,trap,365.6130201248461
302,habla,habla,365.6130201248461
303,dijo,dijo,365.6130201248461
304,dicen,dicen,365.6130201248461
305,puta,puta,360.23635806418656
306,quien,quien,360.23635806418656
307,tuyo,tuyo,360.23635806418656
308,t,t,360.23635806418656
309,kingz,kingz,354.85969600352706
310,mmm,mmm,354.85969600352706
311,deja,deja,354.85969600352706
312,joda,joda,354.85969600352706
313,dentro,dentro,354.85969600352706
314,r,r,354.85969600352706
315,sabes,sabes,349.4830339428676
316,chingando,chingando,349.4830339428676
317,misma,misma,349.4830339428676
318,what,what,349.4830339428676
319,g,g,349.4830339428676
320,amiga,amiga,349.4830339428676
321,do',do',344.10637188220807
322,olvidar,olvidar,344.10637188220807
323,pasar,pasar,344.10637188220807
324,mierda,mierda,344.10637188220807
325,ayer,ayer,338.72970982154857
326,despué',despué',338.72970982154857
327,puse,puse,338.72970982154857
328,llegó,llegó,333.35304776088907
329,nota,nota,333.35304776088907
330,get,get,333.35304776088907
331,saber,saber,333.35304776088907
332,heh,heh,333.35304776088907
333,todos,todos,333.35304776088907
334,primero,primero,333.35304776088907
335,pone,pone,327.97638570022957
336,wouh,wouh,327.97638570022957
337,estos,estos,327.97638570022957
338,cuatro,cuatro,327.97638570022957
339,importa,importa,327.97638570022957
340,saben,saben,327.97638570022957
341,dejar,dejar,327.97638570022957
342,carajo,carajo,327.97638570022957
343,pensando,pensando,322.59972363957013
344,jajaja,jajaja,322.59972363957013
345,mil,mil,317.2230615789106
346,tres,tres,317.2230615789106
347,to'as,to'as,317.2230615789106
348,mujer,mujer,317.2230615789106
349,luian,luian,317.2230615789106
350,toa',toa',317.2230615789106
351,veces,veces,317.2230615789106
352,puesto,puesto,317.2230615789106
353,volver,volver,317.2230615789106
354,gang,gang,317.2230615789106
355,metí,metí,311.8463995182511
356,pasa,pasa,311.8463995182511
357,puta',puta',311.8463995182511
358,pide,pide,311.8463995182511
359,llego,llego,306.4697374575916
360,peor,peor,306.4697374575916
361,cien,cien,306.4697374575916
362,ajá,ajá,306.4697374575916
363,malo,malo,306.4697374575916
364,drunk,drunk,306.4697374575916
365,hice,hice,301.0930753969321
366,anda,anda,301.0930753969321
367,wow,wow,301.0930753969321
368,has,has,301.0930753969321
369,nosotro',nosotro',301.0930753969321
370,original,original,301.0930753969321
371,pues,pues,301.0930753969321
372,woo,woo,301.0930753969321
373,nueva,nueva,301.0930753969321
374,s,s,301.0930753969321
375,don't,don't,295.7164133362726
376,sigue,sigue,295.7164133362726
377,cada,cada,295.7164133362726
378,beso,beso,295.7164133362726
379,pienso,pienso,290.3397512756131
380,hablar,hablar,290.3397512756131
381,haga',haga',290.3397512756131
382,movie,movie,290.3397512756131
383,bellaca,bellaca,290.3397512756131
384,p,p,290.3397512756131
385,sólo,sólo,290.3397512756131
386,ustedes,ustedes,284.9630892149536
387,juro,juro,284.9630892149536
388,fuera,fuera,284.9630892149536
389,llegar,llegar,284.9630892149536
390,queda,queda,284.9630892149536
391,somo',somo',284.9630892149536
392,toca,toca,284.9630892149536
393,cabrones,cabrones,284.9630892149536
394,ay,ay,284.9630892149536
395,verte,verte,284.9630892149536
396,gucci,gucci,279.58642715429403
397,quería,quería,279.58642715429403
398,cuerpo,cuerpo,279.58642715429403
399,cojone',cojone',279.58642715429403
400,but,but,279.58642715429403
401,hacerlo,hacerlo,279.58642715429403
402,tranquilo,tranquilo,279.58642715429403
403,dura,dura,279.58642715429403
404,llueve,llueve,279.58642715429403
405,alguien,alguien,279.58642715429403
406,phillie,phillie,279.58642715429403
407,cielo,cielo,274.2097650936346
408,tan,tan,274.2097650936346
409,odio,odio,274.2097650936346
410,puede,puede,274.2097650936346
411,cuenta,cuenta,274.2097650936346
412,primera,primera,274.2097650936346
413,mientras,mientras,274.2097650936346
414,vip,vip,268.8331030329751
415,chingar,chingar,268.8331030329751
416,mambo,mambo,268.8331030329751
417,day,day,268.8331030329751
418,cartera,cartera,268.8331030329751
419,miedo,miedo,268.8331030329751
420,go,go,268.8331030329751
421,mera,mera,268.8331030329751
422,mío',mío',268.8331030329751
423,vi,vi,268.8331030329751
424,ninguno,ninguno,268.8331030329751
425,entre,entre,263.45644097231553
426,sus,sus,263.45644097231553
427,got,got,263.45644097231553
428,tal,tal,263.45644097231553
429,cosa,cosa,263.45644097231553
430,muy,muy,263.45644097231553
431,mucha,mucha,263.45644097231553
432,rrr,rrr,263.45644097231553
433,hey,hey,263.45644097231553
434,of,of,258.0797789116561
435,han,han,258.0797789116561
436,you'll,you'll,258.0797789116561
437,back,back,258.0797789116561
438,normal,normal,258.0797789116561
439,ojalá,ojalá,258.0797789116561
440,she,she,258.0797789116561
441,iba,iba,258.0797789116561
442,dando,dando,258.0797789116561
443,llevo,llevo,258.0797789116561
444,hagas,hagas,258.0797789116561
445,viene,viene,252.70311685099657
446,abajo,abajo,252.70311685099657
447,piquete,piquete,252.70311685099657
448,e,e,252.70311685099657
449,anoche,anoche,252.70311685099657
450,cuarto,cuarto,252.70311685099657
451,hijo,hijo,252.70311685099657
452,plo,plo,252.70311685099657
453,juego,juego,252.70311685099657
454,to's,to's,247.3264547903371
455,buena,buena,247.3264547903371
456,venir,venir,247.3264547903371
457,sexo,sexo,247.3264547903371
458,frente,frente,247.3264547903371
459,fuck,fuck,247.3264547903371
460,conejo,conejo,247.3264547903371
461,visto,visto,247.3264547903371
462,do,do,247.3264547903371
463,hacía,hacía,247.3264547903371
464,tema,tema,247.3264547903371
465,j,j,247.3264547903371
466,tuya,tuya,241.94979272967757
467,déjame,déjame,241.94979272967757
468,ratito,ratito,241.94979272967757
469,claro,claro,241.94979272967757
470,bajo,bajo,241.94979272967757
471,mano,mano,241.94979272967757
472,tener,tener,241.94979272967757
473,tranquila,tranquila,241.94979272967757
474,vuelvo,vuelvo,241.94979272967757
475,tirar,tirar,241.94979272967757
476,casi,casi,241.94979272967757
477,somos,somos,241.94979272967757
478,estaba,estaba,236.57313066901807
479,creo,creo,236.57313066901807
480,'el,'el,236.57313066901807
481,hacerte,hacerte,236.57313066901807
482,okey,okey,236.57313066901807
483,siente,siente,236.57313066901807
484,feliz,feliz,236.57313066901807
485,vino,vino,231.19646860835854
486,poder,poder,231.19646860835854
487,mente,mente,231.19646860835854
488,no',no',231.19646860835854
489,cualquiera,cualquiera,231.19646860835854
490,morir,morir,231.19646860835854
491,cabrone',cabrone',231.19646860835854
492,debí,debí,231.19646860835854
493,mira,mira,231.19646860835854
494,verdad,verdad,231.19646860835854
495,hablen,hablen,231.19646860835854
496,fumar,fumar,231.19646860835854
497,llamas,llamas,231.19646860835854
498,vuelve,vuelve,225.81980654769905
499,hacen,hacen,225.81980654769905
500,mueve',mueve',225.81980654769905
501,playa,playa,225.81980654769905
502,camino,camino,225.81980654769905
503,encanta,encanta,225.81980654769905
504,llega,llega,225.81980654769905
505,benito,benito,225.81980654769905
506,ma,ma,225.81980654769905
507,poco,poco,225.81980654769905
508,gana,gana,225.81980654769905
509,luna,luna,225.81980654769905
510,decir,decir,220.44314448703958
511,completa,completa,220.44314448703958
512,ninguna,ninguna,220.44314448703958
513,fuiste,fuiste,220.44314448703958
514,hookah,hookah,220.44314448703958
515,grande,grande,220.44314448703958
516,bala',bala',220.44314448703958
517,muerte,muerte,220.44314448703958
518,champaña,champaña,220.44314448703958
519,with,with,220.44314448703958
520,mucha',mucha',220.44314448703958
521,ba,ba,215.06648242638005
522,allá,allá,215.06648242638005
523,acá,acá,215.06648242638005
524,mueve,mueve,215.06648242638005
525,cuál,cuál,215.06648242638005
526,again,again,215.06648242638005
527,baja,baja,215.06648242638005
528,okay,okay,215.06648242638005
529,entera,entera,215.06648242638005
530,balvin,balvin,215.06648242638005
531,caliente,caliente,215.06648242638005
532,dije,dije,215.06648242638005
533,tití,tití,209.68982036572055
534,beber,beber,209.68982036572055
535,álbum,álbum,209.68982036572055
536,russian,russian,209.68982036572055
537,nueve,nueve,209.68982036572055
538,miami,miami,209.68982036572055
539,mas,mas,209.68982036572055
540,puso,puso,209.68982036572055
541,ojos,ojos,209.68982036572055
542,acostumbré,acostumbré,209.68982036572055
543,dio',dio',209.68982036572055
544,la'o,la'o,204.31315830506105
545,was,was,204.31315830506105
546,llevar,llevar,204.31315830506105
547,foto,foto,204.31315830506105
548,díselo,díselo,198.93649624440155
549,pase,pase,198.93649624440155
550,hacemo',hacemo',198.93649624440155
551,can,can,198.93649624440155
552,don,don,198.93649624440155
553,picheo,picheo,198.93649624440155
554,skrt,skrt,198.93649624440155
555,dio,dio,198.93649624440155
556,joder,joder,198.93649624440155
557,salí,salí,198.93649624440155
558,cambiar,cambiar,198.93649624440155
559,ropa,ropa,198.93649624440155
560,parar,parar,198.93649624440155
561,decías,decías,193.55983418374205
562,out,out,193.55983418374205
563,hora,hora,193.55983418374205
564,quise,quise,193.55983418374205
565,mirando,mirando,193.55983418374205
566,vo',vo',193.55983418374205
567,goin',goin',193.55983418374205
568,nuestro,nuestro,193.55983418374205
569,putas,putas,193.55983418374205
570,bryant,bryant,193.55983418374205
571,saco,saco,193.55983418374205
572,sorry,sorry,193.55983418374205
573,pasan,pasan,193.55983418374205
574,sido,sido,193.55983418374205
575,carro,carro,193.55983418374205
576,mujere',mujere',193.55983418374205
577,mírame,mírame,188.18317212308256
578,esos,esos,188.18317212308256
579,haga,haga,188.18317212308256
580,it's,it's,188.18317212308256
581,tarde,tarde,188.18317212308256
582,verano,verano,188.18317212308256
583,ma',ma',188.18317212308256
584,sube,sube,188.18317212308256
585,traje,traje,188.18317212308256
586,compré,compré,188.18317212308256
587,letra,letra,188.18317212308256
588,gracias,gracias,188.18317212308256
589,down,down,188.18317212308256
590,digan,digan,188.18317212308256
591,fotos,fotos,188.18317212308256
592,pensar,pensar,182.80651006242306
593,reggaetón,reggaetón,182.80651006242306
594,manera,manera,182.80651006242306
595,quisiera,quisiera,182.80651006242306
596,hola,hola,182.80651006242306
597,año',año',182.80651006242306
598,buscarte,buscarte,182.80651006242306
599,b,b,182.80651006242306
